Name,Stage -1,Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15
STEVENS AUX 1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 4 5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 6 7,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 8 9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 10 11,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 12,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 13 14,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 15,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 16,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 17,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
STEVENS AUX 18,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
761 CHAP A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
761 CHAP B,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
761 CHAP C,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
761 CHAP D,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
761 MINS WF,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
MINSCA BUSBAR,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG09 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG09 B,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG09 C,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG09 D,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG09 E,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG09 OUTLINE A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG09 OUTLINE B,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG09 OUTLINE C,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG09 OUTLINE D,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG11 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG11 B,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG11 C,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG11 D,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG11 E,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG11 OUTLINE A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG11 OUTLINE B,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG11 OUTLINE C,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG11 OUTLINE D,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG10 A,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
WTG10 C,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
